| software       | version | Method| URL
| -------------- | ------- | ----- | ---
| zlib           | 1.2.11  | wget  | http://www.zlib.net/zlib-1.2.11.tar.xz
| szip           | 2.1.1   | wget  | https://support.hdfgroup.org/ftp/lib-external/szip/2.1.1/src/szip-2.1.1.tar.gz
| hdf5           | 1.12.0  | wget  | https://www.hdfgroup.org/downloads/hdf5/source-code/hdf5-1.12.0.tar.gz
| pnetcdf        | 1.12.1  | wget  | https://parallel-netcdf.github.io/Release/pnetcdf-1.12.1.tar.gz
| netcdf-c       | 4.7.4   | wget  | https://www.unidata.ucar.edu/downloads/netcdf/ftp/netcdf-c-4.7.4.tar.gz
| netcdf-fortran | 4.5.3   | wget  | https://www.unidata.ucar.edu/downloads/netcdf/ftp/netcdf-fortran-4.5.3.tar.gz
| netcdf-cxx4    | 4.3.1   | wget  | https://www.unidata.ucar.edu/downloads/netcdf/ftp/netcdf-cxx4-4.3.1.tar.gz
| nccmp          | 1.8.7.0 | wget  | https://gitlab.com/remikz/nccmp/-/archive/1.8.7.0/nccmp-1.8.7.0.tar.gz
| PIO            | 2.5.1   | clone | https://github.com/NCAR/ParallelIO
| udunits        | 2.2.28  | wget  | ftp://ftp.unidata.ucar.edu/pub/udunits/udunits-2.2.28.tar.gz
| boost          | 1.75.0  | wget  | https://dl.bintray.com/boostorg/release/1.75.0/source/boost_1_75_0.tar.gz
| eigen          | 3.3.7   | wget  | https://gitlab.com/libeigen/eigen/-/archive/3.3.7/eigen-3.3.7.tar.gz
| sqlite         | 3.34.0  | wget  | https://www.sqlite.org/2020/sqlite-autoconf-3340000.tar.gz
| proj           | 7.2.1   | wget  | https://download.osgeo.org/proj/proj-7.2.1.tar.gz
| ecbuild  | 3.3.2.jcsda3  | clone | https://github.com/jcsda-internal/ecbuild.git
| eckit    | 1.11.6.jcsda2 | clone | https://github.com/jcsda-internal/eckit.git
| fckit    | 0.7.0.jcsda1  | clone | https://github.com/jcsda-internal/fckit.git
| bufr     | 11.4.0.jcsda1 | clone | https://github.com/JCSDA-internal/NCEPLIBS-bufr.git
| CGAL           | 5.2     | wget  | https://github.com/CGAL/cgal/releases/download/v5.2/CGAL-5.2-library.tar.xz
| atlas    | 0.20.2.jcsda1 | clone | https://github.com/JCSDA-internal/atlas.git
| fms     | release-stable | clone | https://github.com/JCSDA-internal/FMS.git
| gsl_lite       | v0.37.0 | clone | https://github.com/gsl-lite/gsl-lite.git
| ESMF           | 8_0_1   | wget  | https://github.com/esmf-org/esmf/archive/ESMF_8_0_1.tar.gz
| pybind11       | 2.6.1   | wget  | https://github.com/pybind/pybind11/archive/v2.6.1.tar.gz
| nco            | 4.9.7   | wget  | https://github.com/nco/nco/archive/4.9.7.tar.gz
| lapack         | 3.9.0   | wget  | https://github.com/Reference-LAPACK/lapack/archive/v3.9.0.tar.gz
| gptl           | 8.0.3   | wget  | https://github.com/jmrosinski/GPTL/archive/v8.0.3.tar.gz
| fftw           | 3.3.9   | wget  | http://fftw.org/fftw-3.3.9.tar.gz
| odc            | 2.0.0   | wget  | https://github.com/odc/react-tabtab/archive/v2.0.0.tar.gz
| libpng         | 1.6.37  | wget  | https://github.com/glennrp/libpng/archive/v1.6.37.tar.gz
| libjpeg        | 9.1.0   | clone | https://github.com/LuaDist/libjpeg.git
| jasper         | 1.900.31 | wget | https://github.com/jasper-software/jasper/archive/version-1.900.31.tar.gz
| baselibs       | 5.2.2   | clone | https://developer.nasa.gov/GMAO/ESMA-Baselibs.git
| nceplibs       | fv3     | site  | ${JEDI_STACK_ROOT}/buildscripts/libs/NCEPlibs
| geos           | 3.9.0   | wget  | http://download.osgeo.org/geos/geos-3.9.0.tar.bz2
| pdtoolkit      | 3.25.1  | wget  | http://tau.uoregon.edu/pdt_lite.tgz
| tau2           | 3.25.1  | clone | https://github.com/UO-OACISS/tau2.git
| tkdiff         | 5-1     | wget  | https://sourceforge.net/projects/tkdiff/files/tkdiff/5.1/tkdiff-5-1.zip
| xerces         | c-3.2.3 | wget  | https://archive.apache.org/dist/xerces/c/3/sources/xerces-c-3.2.3.tar.gz
| json           | 3.9.1   | wget  | https://github.com/nlohmann/json/archive/v3.9.1.tar.gz
| json-schema-validator | 2.1.0 | wget | https://github.com/pboettch/json-schema-validator/archive/2.1.0.tar.gz
| libfabric      | 1.11.2  | wget  | https://github.com/ofiwg/libfabric/archive/v1.11.2.tar.gz
| plasma         | 19.8.1  | wget  | https://bitbucket.org/icl/plasma/downloads/plasma-19.8.1.tar.gz
